State_Name,x,y
Andhra Pradesh,-59,-115
Arunachal Pradesh,178,124
Assam,147,83
Bihar,40,62
Chhattisgarh,-13,-1
Goa,-149,-105
Gujarat,-183,16
Haryana,-98,133
Himachal Pradesh,-86,178
Jharkhand,33,35
Karnataka,-123,-125
Kerala,-102,-186
Madhya Pradesh,-86,27
Maharashtra,-142,-46
Manipur,175,55
Meghalaya,129,70
Mizoram,166,35
Nagaland,190,83
Odisha,18,-21
Punjab,-106,154
Rajasthan,-86,27
Sikkim,96,101
Tamil Nadu,-80,-174
Telangana,-66,-64
Tripura,146,37
Uttar Pradesh,-42,84
Uttarakhand,-57,148
J & K,-110,209
West Bengal,73,28
Ladakh,-71,211
Delhi,-74,117
